Network name;Method;Modularity
nets\model\256_4_4_2_15_18_p;Asyn;0.7818042125081899
nets\model\256_4_4_2_15_18_p;Louvain;0.7818042125081899
nets\model\256_4_4_2_15_18_p;Spinglass;0.7818042125081898
nets\model\256_4_4_2_15_18_p;Walktrap;0.7818042125081897
nets\model\256_4_4_2_15_18_p;Girvan-Newman;0.7818042125081897
nets\model\256_4_4_4_13_18_p;Asyn;0.6625914476498566
nets\model\256_4_4_4_13_18_p;Louvain;0.6967733384846297
nets\model\256_4_4_4_13_18_p;Spinglass;0.6890724090754892
nets\model\256_4_4_4_13_18_p;Walktrap;0.6974188902601712
nets\model\256_4_4_4_13_18_p;Girvan-Newman;0.6974188902601712
nets\model\rb125;Asyn;0.5712711322709341
nets\model\rb125;Louvain;0.6168970001542904
nets\model\rb125;Spinglass;0.6042011064824001
nets\model\rb125;Walktrap;0.6121360400273315
nets\model\rb125;Girvan-Newman;0.6107694681390378
nets\real\airports_UW;Asyn;0.6027395333023087
nets\real\airports_UW;Louvain;0.645839045568263
nets\real\airports_UW;Spinglass;0.6373509976661167
nets\real\airports_UW;Walktrap;0.6051379187679539
nets\real\airports_UW;Girvan-Newman;0.5958993304057855
nets\real\cat_cortex_sim;Asyn;0.0
nets\real\cat_cortex_sim;Louvain;0.36547582372290366
nets\real\cat_cortex_sim;Spinglass;0.37193094709373087
nets\real\cat_cortex_sim;Walktrap;0.3709244831417289
nets\real\cat_cortex_sim;Girvan-Newman;0.07093456636784069
nets\real\dolphins;Asyn;0.5195008108856454
nets\real\dolphins;Louvain;0.5188283691309679
nets\real\dolphins;Spinglass;0.5285194414777896
nets\real\dolphins;Walktrap;0.48884537795182154
nets\real\dolphins;Girvan-Newman;0.5193821446936435
nets\real\football;Asyn;0.6028717110778163
nets\real\football;Louvain;0.6043460210927457
nets\real\football;Spinglass;0.6017859376372187
nets\real\football;Walktrap;0.602914290428428
nets\real\football;Girvan-Newman;0.5996290274077959
nets\real\zachary_unwh;Asyn;0.37442472057856674
nets\real\zachary_unwh;Louvain;0.41978961209730437
nets\real\zachary_unwh;Spinglass;0.4197896120973044
nets\real\zachary_unwh;Walktrap;0.3532215647600263
nets\real\zachary_unwh;Girvan-Newman;0.40129848783694944
nets\toy\20x2+5x2;Asyn;0.5415859964709342
nets\toy\20x2+5x2;Louvain;0.5425785462209587
nets\toy\20x2+5x2;Spinglass;0.5415859964709343
nets\toy\20x2+5x2;Walktrap;0.5415859964709343
nets\toy\20x2+5x2;Girvan-Newman;0.5425785462209588
nets\toy\graph3+1+3;Asyn;0.3671875
nets\toy\graph3+1+3;Louvain;0.3671875
nets\toy\graph3+1+3;Spinglass;0.3671875
nets\toy\graph3+1+3;Walktrap;0.3671875
nets\toy\graph3+1+3;Girvan-Newman;0.3671875
nets\toy\graph4+4;Asyn;0.44285714285714284
nets\toy\graph4+4;Louvain;0.44081632653061226
nets\toy\graph4+4;Spinglass;0.3938775510204081
nets\toy\graph4+4;Walktrap;0.44285714285714284
nets\toy\graph4+4;Girvan-Newman;0.44285714285714284
nets\toy\grid-p-6x6;Asyn;0.34259259259259256
nets\toy\grid-p-6x6;Louvain;0.40586419753086417
nets\toy\grid-p-6x6;Spinglass;0.4166666666666665
nets\toy\grid-p-6x6;Walktrap;0.39506172839506176
nets\toy\grid-p-6x6;Girvan-Newman;0.41666666666666663
nets\toy\star;Asyn;0.0
nets\toy\star;Louvain;0.0
nets\toy\star;Spinglass;0.0
nets\toy\star;Walktrap;0.0
nets\toy\star;Girvan-Newman;0.0
